petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,h_alpha_flux
18.99901,17.366081,16.550549,16.07939,15.791876,153.44162
18.99382,17.498791,16.750458,16.396994,16.198111,99.410316
21.054079,18.797401,17.565258,17.070107,16.680929,10.876161
19.798061,18.743343,17.836443,17.410744,17.241762,568.313599
20.3867,18.640894,17.776564,17.26502,16.937803,339.294586
18.632401,17.705698,17.277271,17.005636,17.070248,171.818512
20.128906,18.624712,17.71698,17.245813,16.921492,79.730713
20.371355,18.646795,17.630871,17.191725,16.80245,5.220958
19.303865,17.405382,16.456879,16.01737,15.685915,73.12326
19.309046,17.555319,16.571238,16.105867,15.766053,22.94886
19.203663,17.436928,16.561268,16.129768,15.827932,6.049816
19.729023,18.415659,17.910286,17.604364,17.353687,240.453461
19.930939,18.518774,17.899008,17.56035,17.379425,95.278336
18.573896,17.161964,16.641972,16.314508,16.168285,172.953171
20.335827,18.448471,17.410744,16.964211,16.615196,16.051678
21.096333,19.435436,17.956015,17.386559,16.981791,35.25259
20.489351,19.277365,17.50816,17.003534,16.666912,67.285355
21.562521,18.984335,17.804253,17.291986,16.84693,51.474285
18.566635,17.059763,16.367258,16.044304,15.842295,30.058521
19.460546,18.138489,17.228119,16.77235,16.456245,363.872742
19.84886,18.11981,17.214088,16.786612,16.413546,135.049393
20.04059,17.767166,16.887838,16.448267,16.114914,383.156403
19.641497,18.382418,17.751389,17.489613,17.236588,42.331299
20.201086,18.397961,17.480192,17.069901,16.666456,16.590076
20.325428,18.855021,17.797268,17.370106,17.039911,7.008194
18.170092,16.899517,16.399406,16.070168,15.887662,821.156372
20.076214,18.531845,17.507807,17.014439,16.65786,41.306389
19.025896,17.505449,16.704807,16.246258,15.919953,151.743759
19.731678,18.528595,17.708656,17.34425,17.156605,174.088364
19.599516,18.779478,18.293037,17.906029,17.792025,483.592987
19.72625,17.880848,16.968527,16.556879,16.200539,14.778871
19.013134,17.33411,16.49021,16.108046,15.788791,20.734638
19.263641,17.716898,16.841799,16.433437,16.139008,6.956811
19.837238,17.708046,16.882387,16.450558,16.193773,5.316854
20.58532,18.720213,17.718702,17.31518,16.954056,2.955565
19.369936,18.21331,17.599077,17.205393,17.025991,54.189617
19.782938,18.387156,17.579332,17.160973,16.777002,79.396866
20.280968,18.692322,17.784203,17.365356,17.127949,12.170012
18.81893,17.737305,17.289137,17.056934,16.957035,35.143665
19.862902,17.788599,16.611664,16.122717,15.79388,14.348995
18.956181,17.409878,16.74456,16.384378,16.138033,18.498512
19.482391,18.199423,17.52762,17.063795,16.859098,114.13707
20.322887,18.724821,17.71459,17.176073,17.008699,38.396122
